"name","rating","service","no_of_emp","cmp_age","location"
"TCS","3.8","IT Services & Consulting "," 1 Lakh+ Employees ","55","Mumbai"
"Accenture","4.1","IT Services & Consulting "," 1 Lakh+ Employees ","34","Dublin"
"Cognizant","3.9","IT Services & Consulting "," 1 Lakh+ Employees ","29","Teaneck. New Jersey."
"Wipro","3.8","IT Services & Consulting "," 1 Lakh+ Employees ","78","Bangalore/Bengaluru"
"Infosys","3.9","IT Services & Consulting "," 1 Lakh+ Employees ","42","Bengaluru/Bangalore"
"Capgemini","3.9","IT Services & Consulting "," 1 Lakh+ Employees ","56","Paris"
"Tech Mahindra","3.7","IT Services & Consulting "," 1 Lakh+ Employees ","37","Pune"
"Genpact","4","IT Services & Consulting "," 50k-1 Lakh Employees ","26","New York"
"HCLTech","3.7","IT Services & Consulting "," 1 Lakh+ Employees ","32","Noida"
"Axis Bank","3.8","Banking "," 50k-1 Lakh Employees ","30","Mumbai"
"Concentrix Corporation","3.9","BPO "," 10k-50k Employees ","40","Fremont"
"IBM","4.1","Software Product "," 50k-1 Lakh Employees ","112","Armonk"
"Reliance Jio","4","Telecom "," 50k-1 Lakh Employees ","16","Navi Mumbai"
"Larsen & Toubro Limited","4","Engineering & Construction "," 1 Lakh+ Employees ","85","Mumbai"
"Reliance Retail","3.9","Retail "," 1 Lakh+ Employees ","17","Navi Mumbai"
"Teleperformance","3.6","BPO "," 10k-50k Employees ","45","Paris"
"Vodafone Idea","4.2","Telecom "," 10k-50k Employees ","5","Gandhinagar"
"Deloitte","4","Management Consulting "," 50k-1 Lakh Employees ","178","London"
"Kotak Mahindra Bank","3.8","Banking "," 10k-50k Employees ","20","Mumbai"
"BYJU'S","3.2","EdTech "," 1k-5k Employees ","12","Bangalore"
"Reliance Industries","4","Oil & Gas "," ","46","Navi Mumbai"
"Bharti Airtel","4","Telecom "," 10k-50k Employees ","28","Gurgaon/Gurugram"
"Ernst & Young","3.7","Accounting & Auditing "," 10k-50k Employees ","21","London"
"WNS","3.6","BPO "," 10k-50k Employees ","27","Mumbai"
"DXC Technology","3.9","IT Services & Consulting "," 10k-50k Employees ","6","Minato"
"Hinduja Global Solutions","4","Software Product "," 10k-50k Employees ","23","Bangalore/Bengaluru"
"Ericsson","4.3","Telecom "," 10k-50k Employees ","147","Stockholm"
